GAMECODE,GAME_ID,SEASON
20171112/MIADET,21700189,2017
20171112/HOUIND,21700190,2017
20171112/DALOKC,21700191,2017
20171113/SACWAS,21700192,2017
20171113/CLENYK,21700193,2017
20171113/MEMMIL,21700194,2017
20171113/ATLNOP,21700195,2017
20171113/LALPHX,21700196,2017
20171113/MINUTA,21700197,2017
20171113/DENPOR,21700198,2017
20171113/ORLGSW,21700199,2017
20171113/PHILAC,21700200,2017
20171114/BOSBKN,21700201,2017
20171114/TORHOU,21700202,2017
20171114/SASDAL,21700203,2017
20171115/SACATL,21700204,2017
20171115/WASMIA,21700205,2017
20171115/UTANYK,21700206,2017
20171115/CLECHA,21700207,2017
20171115/INDMEM,21700208,2017
20171115/DETMIL,21700209,2017
20171115/SASMIN,21700210,2017
20171115/TORNOP,21700211,2017
20171115/CHIOKC,21700212,2017
20171115/ORLPOR,21700213,2017
20171115/PHILAL,21700214,2017
20171116/GSWBOS,21700215,2017
20171116/HOUPHX,21700216,2017
20171117/DETIND,21700217,2017
20171117/MIAWAS,21700218,2017
20171117/UTABKN,21700219,2017
20171117/LACCLE,21700220,2017
20171117/NYKTOR,21700221,2017
20171117/CHACHI,21700222,2017
20171117/OKCSAS,21700223,2017
20171117/MINDAL,21700224,2017
20171117/PORSAC,21700225,2017
20171117/NOPDEN,21700226,2017
20171117/PHXLAL,21700227,2017
20171118/LACCHA,21700228,2017
20171118/UTAORL,21700229,2017
20171118/BOSATL,21700230,2017
20171118/GSWPHI,21700231,2017
20171118/HOUMEM,21700232,2017
20171118/MILDAL,21700233,2017
20171118/SACPOR,21700234,2017
20171119/INDMIA,21700235,2017
20171119/GSWBKN,21700236,2017
20171119/WASTOR,21700237,2017
20171119/DETMIN,21700238,2017
20171119/CHIPHX,21700239,2017
20171119/DENLAL,21700240,2017
20171120/MINCHA,21700241,2017
20171120/CLEDET,21700242,2017
20171120/INDORL,21700243,2017
20171120/UTAPHI,21700244,2017
20171120/LACNYK,21700245,2017
20171120/PORMEM,21700246,2017
20171120/WASMIL,21700247,2017
20171120/OKCNOP,21700248,2017
20171120/BOSDAL,21700249,2017
20171120/ATLSAS,21700250,2017
20171120/DENSAC,21700251,2017
20171121/CHILAL,21700252,2017
20171122/WASCHA,21700253,2017
20171122/BKNCLE,21700254,2017
20171122/PORPHI,21700255,2017
20171122/LACATL,21700256,2017
20171122/BOSMIA,21700257,2017
20171122/TORNYK,21700258,2017
20171122/DENHOU,21700259,2017
20171122/DALMEM,21700260,2017
20171122/ORLMIN,21700261,2017
20171122/SASNOP,21700262,2017
20171122/GSWOKC,21700263,2017
